title,date,paragraph
Where Potential Democratic V.P. Candidates Stand on Climate,2024-08-01T16:08:26+0000,"Vice President Kamala Harris, now the presumptive Democratic nominee for president, has a long history as a climate-minded politician. As California’s attorney general, she prosecuted polluters, and as a U.S. senator she cosponsored the Green New Deal, a resolution that called on the nation to pivot away from fossil fuels but that never passed the Congress. During her time as vice president, she helped broker the largest climate deal in U.S. history, the $370 billion Inflation Reduction Act of 2022."
"More Voters, Especially Women, Now Say Abortion Is Their Top Issue",2024-08-31T09:02:29+0000,"Attitudes on abortion are deeply entrenched and have motivated voters across the American political landscape for decades. But in a post-Roe world, with abortion access sharply limited or at stake in several states, voters who want to protect abortion rights are increasingly energized."
"Johnson Casts Doubt on Border Deal to Unlock Ukraine Aid, Defying Biden",2024-01-17T17:22:38+0000,"Speaker Mike Johnson on Wednesday dug in against President Biden’s efforts to revive stalled legislation to send aid to Ukraine, saying the Republican-led House would not entertain it unless Democrats agreed to a far more severe crackdown at the U.S.-Mexico border than they have been willing to consider."
Iran Denies Ordering Drone Strike as Biden Weighs a Response,2024-01-29T13:01:37+0000,"The deaths of three U.S. soldiers in a drone strike in Jordan — the first-known American military fatalities from hostile fire in the widening Middle East crisis — are likely to increase pressure on President Biden, who has tried to limit the American response in order to keep regional tensions from spreading further."
The Victory Lap Trump Didn’t Take,2024-07-01T09:04:31+0000,"Donald Trump didn’t sound any different, not really, during the debate from the way everyone knows him to be. He didn’t sound any different on Friday afternoon, either, at his post-debate rally in Chesapeake, Va. The world around him convulses, and he pretty much stays the same."
A Rising Democrat Leans Into the Campus Fight Over Antisemitism,2024-05-11T09:05:08+0000,"A few hours after Columbia University canceled its main commencement ceremony following weeks of pro-Palestinian student protests, Gov. Josh Shapiro of Pennsylvania was in his office in Harrisburg, taking stock of the ways he sees universities letting students down."
What to Know about Lead Exposure in Children,2024-02-27T10:02:24+0000,"A recent outbreak of lead poisoning from cinnamon in applesauce has drawn attention to the toxic effect the heavy metal can have on children. The cinnamon in the applesauce was believed to have been intentionally contaminated, possibly to add to its value as a commodity sold by weight. It had unusually high levels of lead."
"Cheney, on the Sidelines as Harris Courts Her Endorsement, Plans to Weigh In Soon",2024-08-30T15:43:21+0000,"When Democrats spread the word this month that there would be prominent Republicans onstage at their party convention making the case for Vice President Kamala Harris, all eyes turned to former Representative Liz Cheney, the onetime member of G.O.P. royalty who torpedoed her own political career by breaking vociferously with former President Donald J. Trump."
Will You Vote for Trump Again?,2024-01-11T10:01:02+0000,"There is no way around it: The Iowa caucuses on Monday, the kickoff of the 2024 presidential election, are not really about competing visions for the future of the Republican Party. They are not a battle between dueling ideologies or policy priorities or America’s role in the world."
The Responsibility of Republican Voters,2024-01-15T06:00:09+0000,"Republicans who will gather to cast the first votes of the 2024 presidential primary season have one essential responsibility: to nominate a candidate who is fit to serve as president, one who will “preserve, protect and defend the Constitution of the United States.”"
The Weatherman Who Tried to Bring Climate Science to a Red State,2024-06-20T09:02:19+0000,"In 2021, Chris Gloninger, a television weatherman in Boston with a passion for climate science, was approached with an intriguing prospect. Would he consider a job as chief meteorologist at a television station in Des Moines?"
China’s Dead-End Economy Is Bad News for Everyone,2024-05-11T11:00:14+0000,"On separate visits to Beijing last month, Secretary of State Antony Blinken and Treasury Secretary Janet Yellen bore a common message: Chinese manufacturing overcapacity is flooding global markets with cheap Chinese exports, distorting world trade and leaving American businesses and workers struggling to compete."
What to Know About the Clean Auto Rule: It’s Not a Ban on Gas Cars,2024-03-20T15:30:13+0000,"The Biden administration’s new regulation limiting tailpipe emissions from cars and light trucks would transform the American automobile market, charting a course away from the internal combustion engine and toward a future of electric cars and hybrids."
Netanyahu Defiant as World Leaders Press for Israeli-Hezbollah Truce,2024-09-26T20:57:24+0000,"Prime Minister Benjamin Netanyahu said on Thursday that the Israeli military would keep striking Hezbollah militants in Lebanon with “all our might,” even as the United States, its European allies and several Arab states worked furiously to negotiate a three-week cease-fire."
These Grieving Parents Want Congress to Protect Children Online,2024-06-22T09:03:37+0000,"Deb Schmill has become a fixture on Capitol Hill. Last week alone, she visited the offices of 13 lawmakers, one of more than a dozen trips she has made from her home near Boston over the past two years."
A Unified Republican Congress Would Give Trump Broad Power for His Agenda,2024-10-30T18:56:51+0000,"Former President Donald J. Trump has big policy plans should he be re-elected, including mass deportation of undocumented immigrants and a supercharged crackdown against new migrants, tax breaks on tips and property taxes, expanded oil drilling on federal lands and the elimination of the Education Department."
What We Learned About Harris — and the Democrats — This Week,2024-08-23T09:02:20+0000,"The hosts react to Kamala Harris’s convention speech in this special late-night edition of “Matter of Opinion.” Columnists Lydia Polgreen, Ross Douthat and Carlos Lozada unpack how Harris had a “deft threading of a number of tricky needles” as she accepted her party’s nomination, and look at what the entire week revealed about the Democratic Party."
"George Clooney, a Major Biden Fund-Raiser, Urges Him to Drop Out",2024-07-10T15:36:15+0000,"George Clooney, the Hollywood actor and Democratic financial powerhouse who co-hosted a major fund-raiser for President Biden last month, wrote in a New York Times guest essay on Wednesday that Mr. Biden was too old to seek re-election and should end his campaign."
Biden Asks Congress for Nearly $100 Billion in Disaster Aid,2024-11-18T23:42:54+0000,"President Biden urged Congress on Monday to provide nearly $100 billion in “urgently needed” aid for communities ravaged by hurricanes and other disasters in recent months, saying funding for some critical programs has either run out or is nearly exhausted."
"With the Clock Ticking, Should Harris Define Herself or Her Opponent?",2024-10-24T19:33:31+0000,"It was the most standard of job interview questions, in this case posed by Joe Donahue, a registered Republican and undecided voter, to an applicant for the post of leader of the free world: Vice President Kamala Harris, what weaknesses do you bring to the table?"
Progressive Democrats Scramble to Save One of Their Stars From Defeat,2024-06-15T07:00:26+0000,Representative Alexandria Ocasio-Cortez of New York has declared the race her most pressing electoral priority. Senator Bernie Sanders of Vermont is slated to join her for a pre-election rally in the Bronx. And a powerful pro-Israel lobby working for the other side has already shattered spending records.
Harris Spends an Hour in the Warm Embrace of Howard Stern,2024-10-08T19:34:29+0000,"Who says Kamala Harris’s unconventional media tour won’t reveal anything of note? On Tuesday, she did an hourlong sit-down with Howard Stern, the satellite radio host, and among the juicy bits we learned is that the V.P. isn’t a napper; that she digs Doritos and jigsaw puzzles; that her favorite F1 driver is Lewis Hamilton; that she went to see U2 at the Sphere; and that a rare area of musical agreement between her and Doug, her husband, is their love of Prince."
How JD Vance Found His Way to the Catholic Church,2024-08-25T07:00:12+0000,"From his new home in Cincinnati, JD Vance would go to St. Gertrude to meet the friar."
"For Campus Protesters in Brussels, Familiar Methods, but Different Outcomes",2024-06-16T09:00:34+0000,"On the leafy campus of a Dutch-speaking university, students have for months been demanding that their institution break ties with Israeli academia over the war in Gaza."
CNN cancels its Republican debate in New Hampshire for lack of participation.,2024-01-17T15:20:13+0000,Neither of the two Republican debates planned for the days before the New Hampshire primary will be happening.
‘Lock Her Up’ Was Not Just a Slogan,2024-06-03T23:00:07+0000,"A truism of the Trump era is that every accusation is a confession. When Donald Trump hurls wild charges at his opponents, he is telegraphing what he plans to do to them, pre-emptively justifying the breaking of laws and norms by casting himself as the victim of the very misdeeds he’s going to commit."
What Jamaal Bowman’s Loss Means for the Left,2024-06-26T09:03:24+0000,Representative Jamaal Bowman’s upset win in a 2020 Democratic primary in the New York suburbs was heralded by the left as proof of its electoral ascent in American politics.
How Do You Make a Weed Empire? Sell It Like Streetwear.,2024-01-30T10:02:03+0000,"The closest thing to a bat signal for stoners is the blue lettering of the Cookies logo. When a new storefront comes to a strip mall or a downtown shopping district, fans flock to grand-opening parties, drawn by a love of the brand — one based on more than its reputation for selling extremely potent weed. Until recently, the company was largely a West Coast phenomenon, but as marijuana legalization spread east, so did Cookies. A little over a year after recreational sales became legal in New Jersey, the chain opened a new location in a bland outdoor mall in Harrison, its aesthetic landing somewhere in the startup-meets-streetwear zone between Apple and Kith. I walked over to a large circular table laden with dozens of jars, each containing a different strain. There were longtime Cookies stalwarts like Gary Payton, a collaboration with the N.B.A. legend, and new variants with names like Mexican Flan and Dirty Muffler. "
What a Trump Presidency Might Mean for Mayor Adams’s Criminal Case,2024-11-10T08:00:55+0000,The United States of America v. Eric Adams was the first criminal indictment of a sitting mayor in the modern history of New York City. But the re-election of Donald J. Trump has invited questions about whether Mr. Adams might appeal to Mr. Trump for help in his federal corruption case — and whether Mr. Trump might entertain providing it.
Has Kamala Harris Changed? Or Have We?,2024-07-26T09:03:30+0000,"Vice President Kamala Harris has gone from being one of President Biden’s many problems to the hope of the Democratic Party. This week Ross Douthat, Lydia Polgreen and Carlos Lozada dissect the seismic campaign vibe shift in both parties. Plus, Ross criticizes another self-indulgent addition to the modern era’s Western canon."
Call With Harris Struggles to Reassure Major Democratic Donors,2024-07-19T17:37:43+0000,"Vice President Kamala Harris tried to buck up the Democratic Party’s biggest donors on Friday, telling about 300 of them that there was little to worry about in President Biden’s campaign."
Friday Briefing,2024-11-01T05:08:31+0000,"Some of the worst floods in decades in eastern Spain trapped thousands of people in vehicles and homes, killed at least 158 people and left others missing. See photos and videos."
How Trump Picked Gaetz,2024-11-14T21:47:00+0000,"President-elect Donald J. Trump still hadn’t settled on his pick for attorney general when he boarded his plane in Washington on Wednesday afternoon, bound for West Palm Beach, after spending a triumphal day in the capital meeting with President Biden at the White House and with Republicans on Capitol Hill."
U.S. Carbon Emissions Fell in 2023 as Coal Use Tumbled to New Lows,2024-01-10T10:01:51+0000,"America’s greenhouse gas emissions fell 1.9 percent in 2023, in large part because the burning of coal to produce electricity plummeted to its lowest level in half a century, according to estimates published on Wednesday by the Rhodium Group, a nonpartisan research firm."
Conservatives Revolt Anew Over Johnson Deal to Avert Shutdown,2024-01-10T22:13:32+0000,"Conservatives thrust the House back into chaos on Wednesday, grinding business to a halt in protest of the spending deal Speaker Mike Johnson struck with Democrats to avert a government shutdown and leaving the funding package in limbo."
Niger Orders American Troops to Leave Its Territory,2024-03-17T20:52:27+0000,"Niger said it is revoking its military cooperation deal with the United States, ordering 1,000 American armed forces personnel to leave the country and throwing the United States’ strategy in the region into disarray."
"No, Border Deal Won’t ‘Allow’ 5,000 Unauthorized Immigrants a Day",2024-02-06T00:40:00+0000,"Republican critics have quickly twisted one element of a bipartisan compromise bill unveiled on Sunday to misleadingly suggest that it permits 5,000 migrants to enter the country illegally every day."
"No, vote spikes on election night do not indicate voter fraud.",2024-11-02T02:00:09+0000,"Vote totals appear to suddenly surge on election night, sometimes benefiting just one candidate. Some people on social media have falsely claimed that this proves fraudulent votes were counted."
R.F.K. Jr. Is Expected to Name Nicole Shanahan as His Running Mate,2024-03-26T09:02:59+0000,"Robert F. Kennedy Jr. is expected to announce on Tuesday that Nicole Shanahan, a Silicon Valley lawyer, investor and political neophyte, will be his running mate in his independent presidential bid, according to two people close to the campaign."
Biden Promised Normal. Do Voters Want His Version of It?,2024-05-13T21:03:22+0000,"President Biden has argued for years that he is the politician to restore normalcy to American politics. But for almost as long, a subset of American voters, frustrated by everything from the economy to immigration policy, have argued that they do not want his version of it."
Is the Fight Against Big Oil Headed to the Supreme Court?,2024-06-13T15:15:10+0000,"Over the past several years, dozens of cities and states have sued big oil companies, seeking to hold the producers of fossil fuels accountable for their role in causing climate change. "
Will America’s Good News on Inflation Last?,2024-01-03T10:54:16+0000,"Prices climbed rapidly in 2021 and 2022, straining American household budgets and chipping away at President Biden’s approval rating. But inflation cooled in late 2023, a spurt of progress that happened more quickly than economists had expected and that stoked hopes of a gentle economic landing."
Biden Straddles the Patriotic and the Political in Speech at Normandy,2024-06-07T08:45:20+0000,POINTE DU HOC — President Biden used the backdrop of the beaches at Normandy on Friday to argue that the fight for democracy in Ukraine and elsewhere remains as vital as the day that American troops helped rescue Europe from Hitler’s tyranny.
‘I’m Speaking’: What Harris’s Top Debate Moments Could Tell Us About Tonight,2024-09-10T09:04:19+0000,"During the 2020 election cycle, Kamala Harris participated in five Democratic primary debates and, as the vice-presidential nominee, one general-election debate. Her performances in the primary debates showed that she was unafraid to instigate attacks, but could be unsteady when on the receiving end of one."
Biden Boasts of Climate Wins and Warns of Reversals Under Trump,2024-09-24T22:25:51+0000,"President Biden on Tuesday celebrated his record overseeing historic action to fight climate change and warned that the Republican trying to succeed him, Donald J. Trump, would unwind those accomplishments and condemn “future generations to a more dangerous world.”"
Is Poor Economic Sentiment All About MAGA?,2024-01-09T19:50:13+0000,"The economy is good, but Americans feel bad about it. Or do they?"
Your most pressing climate questions,2024-04-23T19:11:46+0000,Are traffic circles better for the environment than four-way stops? Will the oceans be too hot for fish to survive? Is green hydrogen a thing?
"Col. Ralph Puckett Jr., Belated Medal of Honor Recipient, Dies at 97",2024-04-08T20:20:38+0000,"Col. Ralph Puckett Jr., who was belatedly awarded the Medal of Honor in May 2021 for his exploits seven decades earlier, commanding vastly outnumbered Army Rangers in a battle with Communist Chinese troops during the Korean War, died on Monday at his home in Columbus, Ga. One of the most highly decorated servicemen in the history of the Army, he was 97."
Democrats Flip Santos’s House Seat in Early Election-Year Test,2024-02-13T08:00:08+0000,"Tom Suozzi, a former Democratic congressman, won a closely watched special House election in New York on Tuesday, narrowing the Republican majority in Washington and offering his party a potential playbook to run in key suburban swing areas in November."
"The Promise, and Risks, in Turning to Kamala Harris",2024-07-22T04:56:39+0000,"Vice President Kamala Harris swiftly established herself as the Democratic front-runner to take on Donald J. Trump within hours of President Biden’s exit on Sunday, fundamentally rewiring the presidential contest at warp speed."
"10 Big Biden Environmental Rules, and What They Mean",2024-05-09T09:06:28+0000,"The Biden administration has been racing this spring to finalize a slew of major environmental regulations, including rules to combat climate change, a first-ever ban on asbestos and new limits on toxic chemicals in tap water."
Judge Quashes Six Charges in Georgia Election Case Against Trump,2024-03-13T14:29:20+0000,"In a surprise move on Wednesday, a judge in Atlanta quashed six of the charges against former President Donald J. Trump and his allies in the sprawling Georgia election interference case, including one related to a call that Mr. Trump made to pressure Georgia’s secretary of state in early January 2021."
Transcript: Ezra Klein on Barack Obama and Michelle Obama’s Convention Speeches,2024-08-21T22:53:21+0000,"Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today’s episode on the Democratic National Convention. Listen wherever you get your podcasts."
Two Climate Advisers Quit U.S. Export-Import Bank Over Fossil Fuel Plans,2024-02-05T19:22:47+0000,"A federal bank that finances projects overseas is set to vote on Thursday on whether to use taxpayer dollars to help drill oil and gas wells in Bahrain, a contentious decision that prompted two of the bank’s climate advisers to resign, according to people with knowledge of their decisions."
Why Are Latinos Fleeing Democrats? Arizona’s New Senator Offers Answers.,2024-11-20T10:03:20+0000,"The Friday before Election Day, Representative Ruben Gallego invited his supporters to Rancho Ochoa, a rodeo venue in southwestern Phoenix, where they listened to a brass band, cheered as bull riders strained to hold on and watched the dancing horses, a staple of Mexican rodeos."
Supreme Court Won’t Block Use of Race in West Point Admissions for Now,2024-02-02T22:26:38+0000,"The Supreme Court declined on Friday to temporarily block race-conscious admissions at the U.S. Military Academy at West Point, clearing the way for the school to continue considering race as a factor in selecting the class that will enroll in the fall."
In Praise of Tiny Triumphs,2024-03-30T10:26:40+0000,"Spring arrives, and with it, a semi-annoying, semi-invigorating mandate to spring clean — to clear out spaces both physical and psychological. Because I am constantly looking for reasons to get rid of old things, old ways of thinking and being that have outstayed their usefulness, I’m drawn to spring cleaning as an annual rite."
These Georgia Republicans Are Over Trump. Will They Vote for Him Anyway?,2024-10-30T16:43:50+0000,"Jeremy Jones, a lifelong Republican in Georgia, has an unflinching assessment of Donald J. Trump: He describes the former president as a “cancer” harming his party, and Mr. Trump’s false claims of a stolen election in 2020 as “one of the worst things that happened to our country.”"
John Oliver Is Still Working Through the Rage,2024-09-28T09:15:09+0000,"Nobody is doing late-night comedy quite like John Oliver. Oliver first became known to U.S. audiences as the senior British correspondent for “The Daily Show,” bringing a keen outsider’s eye and observational humor to American political dysfunction. But since 2014, he has been hosting his own show, “Last Week Tonight,” on HBO, winning 30 Emmys and the respect of a devoted audience for his very funny, meticulously researched deep dives into subjects that few would consider obvious comedic fodder."
Biden’s Parting Gift to Ukraine Could Also Help Trump,2024-11-18T22:13:51+0000,"Acceding to Ukraine’s longstanding pleas for permission to fire American missiles into Russian territory may be the last thing President Biden can do for the Ukrainians — or on any other foreign front, for that matter — before leaving office. That makes for dodgy optics, because it saddles an incoming administration with a policy shift Biden himself long resisted because he thought it carried too great a risk of plunging America into a direct confrontation with Russia."
Rally Backlash Puts Trump on the Defensive,2024-10-28T22:00:34+0000,Donald Trump and his allies are full of bravado over his chances of victory in November. But there are signs that the former president and his team are worried that their opponents’ descriptions of him as a racist and a fascist may be breaking through to segments of voters.
Don’t Turn Away From the Charges of Genocide Against Israel,2024-01-12T10:02:14+0000,"With the question of whether Israel is committing genocide in Gaza now before the International Court of Justice, the Biden administration has struck a tone of glib dismissal."
This May Be a Turning Point for Biden. But in Which Direction?,2024-07-10T09:04:00+0000,"The case for a Biden comeback always presumed that voters would mostly cast their ballots based on their views about Donald J. Trump. That’s how President Biden won four years ago, and it’s why many believed he could overcome poor approval ratings to win again."
"Middle East War Hits Home in Michigan, Threatening Slotkin in Tight Senate Race",2024-10-25T18:23:35+0000,"When Representative Elissa Slotkin of Michigan announced her candidacy for Senate early last year, Democrats had high hopes that her record as a defense hawk and centrist with proven cross-party appeal would make her an ideal candidate for keeping the swing-state seat in Democratic hands."
"Harris Had Stronger Debate, Polls Find, but the Race Remains Deadlocked",2024-09-19T09:04:54+0000,"Kamala Harris overwhelmingly impressed voters in her debate with Donald J. Trump, a new set of polls from The New York Times, The Philadelphia Inquirer and Siena College found, but she has failed so far to seize a decisive advantage in the presidential campaign."
From Ferguson to Gaza: How African Americans Bonded With Palestinian Activists,2024-02-06T10:01:13+0000,"One hot Saturday in August 2014, Sandra Tamari scrolled through social media and learned that a Black teenager named Michael Brown had been  fatally shot by a police officer in nearby Ferguson, Mo. Her heart “just sank,” she recalled, when she learned that Mr. Brown’s mother had stood on the other side of the police tape while her son’s body had been lying in the street for hours."
"Doubting America’s ‘Nuclear Umbrella,’ Some South Koreans Want Their Own",2024-08-17T04:01:16+0000,"Ever since the Korean War was halted in an uneasy truce in 1953, South Koreans have lived under an American promise to defend their country, if necessary, with nuclear weapons. President Biden emphatically reiterated that commitment last year, vowing that any nuclear attack by North Korea would lead to the destruction of its government."
"111 Former G.O.P. Officials Back Harris, Calling Trump ‘Unfit to Serve’",2024-09-18T12:00:08+0000,"More than 100 former national security officials from Republican administrations and former Republican members of Congress endorsed Vice President Kamala Harris on Wednesday after concluding that their party’s nominee, Donald J. Trump, is “unfit to serve again as president.”"
Beyond Restoring Roe: Democrats See Moment to ‘Reimagine’ Abortion Rights,2024-08-20T19:27:38+0000,"It was one of the opening night’s most dramatic and sober moments. Three women emerged on the main stage, each in a spotlight against the darkness."
Democrats Cleared the Path for Harris’s Nomination,2024-07-22T21:25:05+0000,"Vice President Kamala Harris has already secured the endorsement of the vast majority of elected Democrats, just a day after President Biden made the stunning announcement that he was dropping his re-election bid. Few obvious challengers to her nomination remain, as the party anxiously looks to move past the divisions that have torn it apart for weeks."
"Jacques Lewis, French Veteran of U.S. Landing on D-Day, Dies at 105",2024-08-08T21:50:30+0000,"Jacques Lewis, who was believed to be the last surviving French soldier to clamber ashore with U.S. forces at Normandy on D-Day in 1944, died on July 25 in Paris. He was 105."
"Eyeing Super Tuesday, Trump Is Eager to Dispatch Rivals Sooner Than Later",2024-01-18T10:02:15+0000,"With five days left until the New Hampshire primary, Donald J. Trump and his allies are stepping up their efforts to muscle Nikki Haley and Ron DeSantis out of the Republican presidential race by casting Mr. Trump’s nomination as inevitable."
