title,date,paragraph,,,,,
The Education Crisis Neither Candidate Will Address,2024-10-09T13:00:07+0000,It has been four and a half years since public schools across the country closed their doors to in-person learning. There is evidence that this generation of K-12 students has not fully recovered academically ??and may never do so.,,,,,
Musk?™s PAC Hints at Vulgar Taunt Against Harris in Ad,2024-10-29T19:20:22+0000,"The ad from Elon Musk?™s PAC begins, ?œKamala Harris is a C Word.??
Alabama?™s I.V.F. Ruling Shows Our Slide Toward Theocracy,2024-02-22T00:00:07+0000,If you don?™t think this country is sliding toward theocracy"," you?™re not paying attention.""",,,,
"Door-Knocks, Texts, and Ads, Ads, Ads: Life on the Swing-State Battlefield",2024-10-20T09:01:03+0000,"Electronic billboards along Route 22 in eastern Pennsylvania, usually a flickering procession of ads for car dealerships, are now flashing images of Vice President Kamala Harris and former President Donald J. Trump. Billboards along Interstate 94 near Milwaukee feature Republican ads blaming Ms. Harris for rising prices.",,,,,
It?™s Time for Democrats to Hold Hands and Jump,2024-07-18T20:42:29+0000,"Ever since President Biden?™s calamitous debate last month, many Democrats who?™ve lost faith in his candidacy have been frozen, fearing mutually assured destruction. They want Biden to step aside, but they worry that if they call on him to leave the race and he refuses, he?™ll be left even weaker against Donald Trump than he is right now. ?œThe worst of all worlds is if half of the members come out for him withdrawing, either in individual press conferences or even as a group, but then he doesn?™t do anything,??one member of Congress told me Wednesday, speaking on condition of anonymity because the issue is so sensitive.",,,,,
Democrats Who Won,2024-11-11T11:40:27+0000,"In a very bad year for their party, some Democrats still figured out how to win tough races.",,,,,
?˜Is Friendship Becoming Obsolete??? The Week 6 Winner of Our Summer Reading Contest,2024-07-30T13:23:48+0000,"For 15 years, our Summer Reading Contest has been inviting teenagers around the world to tell us what New York Times pieces get their attention and why. This year, for the first time, students can submit either written comments or 90-second video responses.",,,,,
Judge Unseals Records in Divorce Case That Has Entangled Trump Prosecutors,2024-01-22T19:08:38+0000,"A Georgia judge unsealed a divorce case on Monday that has entangled the Atlanta district attorney prosecuting former President Donald J. Trump, but halted plans to force the testimony of the prosecutor, Fani T. Willis.",,,,,
How a Teamster Leader?™s Flirtations With Trump Have Divided the Union,2024-07-11T14:09:14+0000,"Sean O?™Brien, the president of the International Brotherhood of Teamsters, has framed his decision to speak at the Republican National Convention next week as a savvy maneuver to keep the union?™s doors open to whoever prevails in November?™s presidential election.",,,,,
Biden?™s Wall Street Donors Are Increasingly ?˜Concerned??2024-07-08T11:30:17+0000,"As more leading Democrats say privately that President Biden should withdraw from the presidential race, some of the party?™s most prominent backers on Wall Street spent the holiday weekend debating what to do next.",,,,,,
"Far From Presidential Battlegrounds, Blue States Could Decide Congress",2024-08-28T16:34:27+0000,"Campaigning on a rainy recent morning, Mondaire Jones had plenty of reasons to be optimistic about his effort to unseat Representative Mike Lawler, a first-term Republican in the Hudson Valley in New York.",,,,,
Trump Promises Clean Water. Will He Clean Up ?˜Forever Chemicals??,2024-11-20T10:04:24+0000,"These chemicals are in the tap water of the majority of Americans, and the Trump administration could decide their fate.",,,,,
Pro-Palestinian ?˜Uncommitted??Group Comes Out Firmly Against Trump,2024-10-08T16:20:04+0000,"Uncommitted, the national group of Arab Americans, Muslim Americans and Palestinian rights activists that emerged from primary-season voters protesting President Biden?™s Middle East policy, took a big step Tuesday toward encouraging supporters to vote for Vice President Kamala Harris.",,,,,
Alabama?™s Ruling That Frozen Embryos Are Children,2024-02-23T17:02:07+0000,To the Editor:,,,,,
"Let?™s Set the Record Straight on Biden, Harris and the Border",2024-10-30T09:03:43+0000,"Immigration is a top issue on voters??minds. When people talk about President Biden and Vice President Kamala Harris?™s handling of immigration, they usually say something like: Record numbers of migrants poured across the border over the past three years, and Mr. Biden and Ms. Harris ignored the crisis until recently. They were weak on the border. Or worse, inept.",,,,,
Tuesday Briefing: Israel Strikes Gaza to Rescue Hostages,2024-02-12T20:57:26+0000,"The Israeli military said it had launched a wave of attacks to divert attention and provide cover for a raid by special operations forces that successfully rescued two hostages in Rafah, in Southern Gaza. Gaza?™s health ministry said dozens of Palestinians were killed in the crowded city, where more than a million displaced people have sought shelter.",,,,,
Democrats Batter Bank Regulator Over F.D.I.C.?™s ?˜Toxic??Workplace Culture,2024-05-15T19:07:36+0000,"Martin Gruenberg is still the leader of the Federal Deposit Insurance Corporation, an agency that supervises U.S. banks, but after a bipartisan grilling on Wednesday by members of a House committee overseeing bank regulators, he appeared to be hanging on by a thread.",,,,,
Biden Administration Proposes Ban on Chinese Software in Vehicles,2024-09-23T12:46:04+0000,"The Biden administration announced a sweeping initiative on Monday to ban Chinese-developed software from internet-connected cars in the United States, justifying the move on national security grounds. The action is intended to prevent Chinese intelligence agencies from monitoring the movements of Americans or using the vehicles??electronics as a pathway into the U.S. electric grid or other critical infrastructure.",,,,,
Monday Briefing,2024-06-17T04:38:10+0000,The Israeli military said yesterday that it would suspend daytime military operations near a border crossing in southern Gaza ?œuntil further notice??to allow more humanitarian aid to enter the enclave. Aid groups have made increasingly urgent warnings about the lack of food and other basic goods.,,,,,
Wall Street?™s Masters of the Universe Are Masters of None in 2024 Race,2024-07-20T09:03:16+0000,"It?™s a bad time to be a finance billionaire. Well, in Washington, D.C., anyway.",,,,,
Gunman Searched ?˜How Far Away Was Oswald From Kennedy???Before Trump Shooting,2024-07-24T14:13:23+0000,"The gunman who tried to kill former President Donald J. Trump searched online for details of John F. Kennedy?™s assassination a week before the shooting, apparently typing, ?œHow far away was Oswald from Kennedy???the director of the F.B.I. told lawmakers on Wednesday.",,,,,
The Harris-______ Campaign,2024-07-24T10:49:19+0000,Kamala Harris?™s choice of a running mate probably won?™t decide this year?™s presidential campaign. It?™s hard to argue that a vice-presidential nominee has swung even a single state over the past 60 years.,,,,,
Columbia Said It Would Expel Students Occupying a Building,2024-04-30T21:26:22+0000,"Early this morning, dozens of pro-Palestinian protesters stormed into an academic building on Columbia University?™s campus and used furniture to barricade themselves inside. They smashed windows, unfurled banners and created a makeshift system to deliver food to demonstrators who, as of this evening, still remain inside. This afternoon, university officials announced that students involved in the building?™s occupation would face expulsion.",,,,,
Biden in Crisis,2024-07-04T10:37:06+0000,The political climate for President Biden is worse this morning than it was just a few days ago.,,,,,
"Hillary Clinton Returns to Wellesley, but the Homecoming Is More Complicated",2024-04-06T22:01:04+0000,"Hillary Clinton returned on Saturday to her alma mater, Wellesley College, to celebrate the opening of a new research and study center that bears her name, more than half a century after she graduated and set off on the path that would make her its most famous alumna.",,,,,
Israel Recovered the Bodies of 3 Hostages,2024-05-17T21:41:43+0000,"Israeli forces recovered the remains of three Israeli hostages during an operation in Gaza last night, the Israeli military said today, but officials did not say where they were found. The three were taken captive by Hamas as they fled a music festival during the Oct. 7 attack.",,,,,
The Supreme Court?™s decision centers on Section 3 of the 14th Amendment.,2024-03-04T18:17:25+0000,"The U.S. Supreme Court?™s decision to overturn a Colorado court decision barring former President Donald J. Trump from the state?™s primary ballot centers on the meaning of the Constitution?™s 14th Amendment, which includes a clause disqualifying people who violated their oaths of office from holding government positions in the future.",,,,,
Who Will Replace Ronna McDaniel as Leader of the R.N.C.?,2024-02-09T10:03:30+0000,The disclosure that Ronna McDaniel is planning to step down this month as the leader of the Republican National Committee has set off a new round of jockeying between two of the same men who battled for the co-chairman post last year.,,,,,
Was the Trump Election a Setback for Women? Even Women Do Not Agree.,2024-11-12T10:05:39+0000,"To many left-leaning Americans, it is resoundingly clear that women who backed Donald J. Trump in the presidential election voted against their own self-interest.",,,,,
What Wall Street Wants to Hear at the Debate,2024-09-10T11:41:24+0000,"With less than two months until the presidential election, there isn?™t much time left for singularly impactful moments. Tuesday?™s debate between Vice President Kamala Harris and Donald Trump will be one of them ??and the corporate world will be paying attention.",,,,,
"Harris Has a Polling Edge in Wisconsin, but Democrats Don?™t Trust It",2024-09-20T16:10:29+0000,"On paper, Vice President Kamala Harris should be feeling hopeful about Wisconsin.",,,,,
?˜Stormy??Review: Trials and Travails,2024-03-18T11:00:07+0000,"The arrival of ?œStormy,??a new documentary on Peacock, is timely. In several weeks, former President Donald J. Trump is scheduled to go on trial in a case in which he?™s accused of covering up a 2016 payment to the pornographic film star known as Stormy Daniels. (The trial was originally supposed to start in late March, but has now been delayed until at least mid-April.)",,,,,
Biden Made a Courageous Choice. Democrats Must Seize the Opportunity.,2024-07-21T18:33:33+0000,"President Biden?™s decision to exit the 2024 presidential election is a fitting coda for a man whose life has been devoted to public service. Mr. Biden has served the nation well as its president. By agreeing to step down when his term ends in January, he is greatly increasing the chance that his party is able to protect the nation from the dangers of returning Donald Trump to the presidency.",,,,,
Trump Sticks to His Favorite Jabs at Rally in Las Vegas,2024-09-14T06:10:28+0000,"Former President Donald J. Trump capped off the week of his first, and possibly only, presidential debate against Vice President Kamala Harris with an unfocused speech at a rally in Las Vegas on Friday night, where he baselessly accused her of cheating, repeated a number of falsehoods on a wide range of topics and continued to try to stoke fear about immigration.",,,,,
J.D. Vance Was Not Always His Name. But It?™s the One That Felt Closest to Home.,2024-07-15T19:51:07+0000,"In May 2022, when J.D. Vance was a primary candidate vying for a U.S. Senate seat in Ohio, former President Donald J. Trump referred to him ??or, seemed to refer to him ??in passing at a rally in Nebraska.",,,,,
Friday Briefing: Biden promises a peaceful transition,2024-11-07T21:06:43+0000,President Biden urged Americans to accept the election of Donald Trump and vowed that there would be an orderly transfer of power. ,,,,,
"At Thanksgiving Time, It?™s Raining on Macy?™s Parade",2024-11-27T10:02:48+0000,Good morning. It?™s Wednesday. We?™ll look ahead to the Macy?™s Thanksgiving Day Parade and why Macy?™s has more to worry about than bad weather. We?™ll also get details on why City Hall is rushing to close a migrant shelter in Brooklyn before President-elect Donald Trump takes office in January.,,,,,
"Police in New Jersey?™s Capital Violate Residents??Rights, U.S. Finds",2024-11-22T03:36:00+0000,"Police officers in Trenton, N.J., systematically violate the constitutional rights of the city?™s residents, conduct illegal searches and needlessly escalate peaceful interactions into violence, the U.S. Department of Justice found in a report published Thursday.",,,,,
Hurricane Milton?™s Destruction,2024-10-10T10:41:19+0000,"Hurricane Milton is tearing across Florida. It has flooded the state from coast to coast and knocked out power for more than three million homes and businesses. It spewed tornadoes that killed people far from the storm?™s eye, destroyed homes and shredded the roof of the Tampa Bay Rays??stadium. See a map of the storm?™s path.",,,,,
The Wood That?™s Starring in the Delacorte Theater Renovation,2024-10-11T09:04:43+0000,Good morning. It?™s Friday. Today we?™ll find out about where old wood from some apartment house water tanks is going. We?™ll also find out about yet another corruption investigation involving City Hall.,,,,,
Something Other Than Originalism Explains This Supreme Court,2024-03-29T09:02:47+0000,It is a sign of the polarizing nature of the current Supreme Court that even knowledgeable critics of its opinions make diametrically opposed arguments.,,,,,
"If the Fed Is Cutting Rates, Why Are Mortgage Rates Rising?",2024-11-07T17:05:46+0000,"Mortgage rates jumped this week as investors processed the potential inflationary effects of President-elect Donald J. Trump?™s win, accelerating a weekslong increase that could keep many buyers and sellers on the sidelines.",,,,,
"Trump?™s Calculus on Abortion, and Iran?™s Secret Smuggling Network",2024-04-09T10:01:37+0000,On Today?™s Episode:,,,,,
Trumponomics: From Trickle-Down to Upside-Down,2024-09-19T14:14:17+0000,Bring back voodoo economics!,,,,,
"Special Counsel Report ?˜Went Off the Rails,??Biden?™s Lawyer Says",2024-02-11T19:29:01+0000,"White House officials and Democrats fanned out to defend President Biden?™s mental fitness on Sunday, reflecting the rising anxiety in the president?™s administration over a special counsel report that fueled concern about his age.",,,,,
Scarlett Johansson and OpenAI?™s Trust Issues,2024-05-21T11:59:48+0000,"When OpenAI unveiled the latest version of ChatGPT last week, a chatbot that can listen to spoken questions and respond verbally, many users had one question: Is that Scarlett Johansson?",,,,,
The Constitution Won?™t Save Us From Trump,2024-04-26T09:04:38+0000,"On Thursday, the Supreme Court gathered to consider whether Donald Trump, as president, enjoyed immunity from prosecution for attempting to overturn the 2020 election. Even if the justices eventually rule against him, liberals should not celebrate the Constitution as our best bulwark against Mr. Trump. In fact, the document ??for reasons that go beyond Mr. Trump, that long preceded him and could well extend past him ??has made our democracy almost unworkable.",,,,,
"Babydog, a Plump Bulldog Who Is Apparently a Republican, Charms the R.N.C.",2024-07-17T00:35:22+0000,"The crowd gathered on the second night of the Republican National Convention was promised a 60-pound bulldog. And when Gov. Jim Justice of West Virginia walked on to the stage without one on Tuesday night, they began shouting the dog?™s name in annoyance.",,,,,
"Harris Economic Plan Focuses on Prices, a Key Vulnerability",2024-09-10T13:54:35+0000,"As Vice President Kamala Harris unveiled her economic plans in recent weeks, former President Donald J. Trump has accused her of being a Marxist, a communist and a socialist.",,,,,
"Jimmy Carter Approaches the Century Mark, Eclipsing His Presidential Peers",2024-09-30T09:06:23+0000,"When Jimmy Carter entered hospice care at his Georgia home last year, his family and friends thought he had only days to live. More than 19 months later, he is set to celebrate his 100th birthday on Tuesday, the first president in American history to hit the centennial mark.",,,,,
Secret Service?™s Tech Flaws Helped Gunman Evade Detection at Trump Rally,2024-08-01T15:56:05+0000,"After a week of oversights and failures, the officers protecting former President Donald J. Trump at a campaign rally in Butler, Pa., still had one last chance to get it right. The chance lasted about 30 seconds.",,,,,
Why You May Be Wrong About Harris?™s Loss,2024-11-22T20:19:03+0000,"The presidential election was two weeks ago, and the country?™s liberals are already deep into the blame phase. Though we don?™t yet have accurate data about how various demographic groups voted and won?™t for months, we?™ve entered a preliminary round of explanations and recriminations ??a menu of lessons to learn about and adjustments to make to the ideology, worldview and strategy of liberals, which, if history is any guide, will both prove hugely influential and probably, in big ways, wrong. Before those premature post-mortems get fully baked into conventional wisdom, though, I wanted to flag a handful of observations about the race and how it?™s already being interpreted ??some caveats, some counterpoints, some context that may help us understand the meaning of a big messy election in a big messy country, at least until we get the actually reliable voter data.",,,,,
"For Netanyahu, Subject to Landmark Warrant, a Smaller World",2024-11-21T17:12:19+0000,The arrest warrant issued by the International Criminal Court for Prime Minister Benjamin Netanyahu of Israel will confront governments around the world with a dilemma: whether to detain the leader of a democracy that is also an ally of many of their countries.,,,,,
Candidates for Federal Office Can Raise Unlimited Funds for Ballot Measures,2024-05-05T21:33:21+0000,The Federal Election Commission quietly issued an advisory opinion last week allowing candidates to raise unlimited money for issue-advocacy groups working on ballot measures in elections in which those candidates are on the ballot.,,,,,
Trump?™s New Stance on Abortion,2024-04-09T17:19:24+0000,To the Editor:,,,,,
How a TV Critic Navigates an Age of Endless Content,2024-09-13T07:00:08+0000,James Poniewozik has a tough job: He gets paid to watch TV.,,,,,
Can Biden Revive the Fortunes of American Workers?,2024-04-25T23:00:03+0000,"Last week, employees at a Volkswagen plant in Chattanooga, Tenn., voted by almost three to one to join the United Automobile Workers. By the numbers, this wasn?™t a big deal: It involved only a few thousand workers in an economy that employs almost 160 million people. But it was an important symbolic victory for a labor movement that even in its heyday never made significant inroads in the South.",,,,,
"Magritte, Master of Surrealism, Joins the $100 Million Dollar Club",2024-11-20T01:00:57+0000,The Belgian Surrealist painter RenÃ© Magritte has become the latest member of that exclusive club of artists whose work has sold for more than $100 million at auction.,,,,,
The Tawdry Tabloid World in Which Trump Lived,2024-05-02T22:31:58+0000,"In Donald Trump?™s felony trial on Thursday, I began thinking of what might be called the Sleazy Lawyer Effect. Does it hurt the credibility of a witness if he sounds too much like a lawyer on the stand?",,,,,
Musk?™s Slashing of the Federal Budget Faces Big Hurdles,2024-11-27T20:08:34+0000,These are frenzied times for the nascent Department of Government Efficiency.,,,,,
Trump Details Assassination Attempt in Convention Speech,2024-07-19T01:58:20+0000,"Five days after a gunman tried to assassinate him at a political rally, former President Donald J. Trump on Thursday night described his personal experience of the shooting as he formally accepted the Republican Party?™s presidential nomination and called on Americans to see in him a unifier.",,,,,
Harris Casts Herself as a Pro-Business Pragmatist in a Broad Economic Pitch,2024-09-25T21:36:51+0000,"Vice President Kamala Harris laid out a broad vision of her economic plan on Wednesday as she sought to bridge the political divide between the progressive senator who ran for president in 2019 and the pragmatic, pro-business candidate she is presenting herself as now.",,,,,
"Others Have Politicized Arlington, but Trump?™s Approach Has No Precedent",2024-09-01T09:01:43+0000,Follow the latest updates on the Harris and Trump campaigns.,,,,,
"In Chicago, Democrats Warn of Threat to Democracy",2024-08-21T19:41:10+0000,"For more than a year, the message from President Biden was dark. The very foundations of the country were at stake in the election, he said. An American apocalypse was on the horizon if former President Donald J. Trump was re-elected.",,,,,
Republicans Struggle to Respond as Democrats Emphasize the Alabama I.V.F. Ruling,2024-02-25T18:41:10+0000,"More than a week after the Alabama Supreme Court declared that frozen embryos produced for in vitro fertilization were people with legal rights, upending fertility care in the state, the ruling is reverberating nationally, putting Republicans on the defensive.",,,,,
Decision Time for Chuck Schumer?,2024-07-11T20:32:34+0000,"If Senator Chuck Schumer, the New York Democrat and majority leader, is known for anything, it is his singular devotion to President Biden?™s agenda, which he has helped steer through Congress, and loyalty to Mr. Biden himself, a former Senate colleague whom he admires and respects.",,,,,
"As Deadline for Another Debate Passes, Trump Again Rejects a Rematch",2024-10-10T13:48:04+0000,The deadline CNN set for former President Donald J. Trump and Vice President Kamala Harris to agree to a second debate passed Thursday with no deal ??making it all but certain that the candidates??first debate in September would be their last.,,,,,
Senate Democrats Reintroduce Legislation to Legalize Marijuana,2024-05-01T22:53:36+0000,"Senate Democrats reintroduced broad legislation on Wednesday to legalize cannabis on the federal level, a major policy shift with wide public support, but it is unlikely to be enacted this year ahead of November?™s elections and in a divided government.",,,,,
"30 Days Out, the Harris and Trump Campaigns Brace for ?˜Trench Warfare??,2024-10-05T09:02:57+0000,As Vice President Kamala Harris and former President Donald J. Trump begin the final 30-day push for the White House"," they are locked in a neck-and-neck race from the Rust Belt to the Sun Belt.""",,,,,,
"Trump?™s Historic Chief of Staff Pick, and What Elon Musk Wants Now",2024-11-08T11:00:22+0000,On Today?™s Episode:,,,,,
"Democrats, It?™s Time to Say Goodbye to Our Neoliberal Era",2024-11-21T10:05:50+0000,"In the months ahead, Democratic Party officials and operatives will analyze election returns and voting patterns to try to make sense of what happened on Election Day. There will be a push to identify problems that can be easily solved by the same campaign experts who have allowed one of the least popular politicians of our time to dominate politics for three consecutive elections and rewrite the political order in a way we haven?™t seen since the Goldwater movement laid the groundwork for Ronald Reagan?™s presidency.",,,,,
"Trump Says He?™ll Protect Women, ?˜Like It or Not,??Evoking His History of Misogyny",2024-10-31T04:26:15+0000,Former President Donald J. Trump said at a rally on Wednesday that he would protect American women ?œwhether the women like it or not????remarks that he cast as paternal but only served as reminders to many of his critics of his history of misogynistic statements and a civil court case that found him liable for sexual abuse.,,,,,
Biden?™s Debate Rattles Even the Most Faithful Democrats,2024-06-29T00:22:38+0000,"Mary Riche, 76, is a devoted member of the Democratic Party faithful. She isn?™t an elected politician or a highly paid party operative, but a loyal part of the rank and file who has supported state and national Democrats since the 1970s, hosted fund-raisers in her Iowa home and enthusiastically knocked on doors for candidates.",,,,,
J.D. Vance Once Warned Trump About Lying About Elections. That Was Then.,2024-07-17T18:32:07+0000,"In the last days of the 2016 presidential campaign, when Donald J. Trump preemptively accused Hillary Clinton of stealing an election that many assumed Mr. Trump would lose, his critics included his future running mate.",,,,,
"DeSantis, Once a Darling of Conservative News Media, Now Rails Against It",2024-01-13T02:59:09+0000,"As the Iowa caucuses draw near, Gov. Ron DeSantis of Florida has increasingly focused on a peculiar target as he looks to win the Republican nomination: the conservative news media ecosystem that supports former President Donald J. Trump.",,,,,
It?™s Springsteen Season Again. Can Celebrities Give Harris a Meaningful Boost?,2024-10-25T18:19:29+0000,"On Thursday evening, as the sun was setting behind the pine trees at a high school football stadium in Clarkston, Ga., Bruce Springsteen took the stage with an acoustic guitar. He played ?œThe Promised Land,??his late-70s song of a young working man chasing a brighter future. Then he addressed the crowd.",,,,,
Lawyer for Stormy Daniels Exposes Sordid Underside of Celebrity,2024-04-30T16:08:52+0000,The tantalizing text message was sent by a lawyer for a former Playboy model to the editor of The National Enquirer.,,,,,
A Pro-Trump Ad Looks to Turn Harris?™s Record as a Prosecutor Against Her,2024-10-15T16:44:50+0000,"MAGA Inc., one of the biggest super PACs supporting Donald J. Trump?™s presidential campaign, has aired this 30-second ad on television stations in Arizona, Georgia, Michigan and Pennsylvania over the past week at a cost, so far, of around $4.4 million, according to AdImpact.",,,,,
To Put It Bluntly,2024-09-12T09:00:27+0000,"If Donald Trump ends up serving a term in prison (there?™s still hope!), I?™d relish the chance to refer to him as an ex-con. Like ?œfelon,??the brute force of the term, with its hard-boiled matter-of-factness, would be extremely satisfying.",,,,,
Gabby Giffords: It?™s the Guns. It?™s Always the Guns.,2024-09-16T20:45:42+0000,"After every shooting, blame and rationalizations fly. I know, because I was shot in the head at a 2011 congressional event near my home in Tucson, Ariz. Eighteen other people were shot at that event, six of whom died. In the weeks that followed, there were all kinds of arguments as to why and how that could have happened. To me, only one rang true: Someone dangerous had access to a gun.",,,,,
Trump Boasted He Could Get Evan Gershkovich Released from Russia if Re-elected,2024-08-01T17:04:41+0000,"Former President Donald J. Trump turned the imprisonment of Evan Gershkovich into a campaign issue about three months ago, after facing criticism in March ??when The Wall Street Journal correspondent marked one year in prison ??for not demanding his release.",,,,,
How to Watch the Harris-Walz Interview,2024-08-29T09:04:11+0000,"An interview with Vice President Kamala Harris, who has taken few questions from reporters since President Biden ended his re-election campaign last month, will be broadcast on CNN on Thursday night, in her first extended interview as the Democratic presidential nominee.",,,,,
The E. Jean Carroll Verdict Exposes the Limits of Libel Law,2024-01-28T22:25:06+0000,"In the days since a New York jury ordered Donald Trump to pay $83.3 million in damages to the libel plaintiff E. Jean Carroll, the question has been whether the dollar amount was high enough to put a stop to his lies.",,,,,
Not Feeling Your Partner?™s Name? Just Change It.,2024-01-25T22:39:05+0000,"Back when Nikki Haley, the last woman standing in the race for the Republican nomination, began dating her now-husband, she took a look at him and asked him what his name was.",,,,,
"As a Lobbyist, Bondi Had Clients Including Amazon, G.M., Uber and Qatar",2024-11-22T01:36:26+0000,"President-elect Donald J. Trump?™s pick to be attorney general, Pam Bondi, is a lobbyist for a powerhouse Republican firm, for which she represented major corporations and foreign governments with interests before the U.S. government.",,,,,
Political Violence and Guns in America,2024-07-15T18:00:39+0000,To the Editor:,,,,,
Appeals Court Seems Skeptical of Trump?™s Immunity Claim,2024-01-09T10:01:39+0000,"A federal appeals court expressed deep skepticism on Tuesday about former President Donald J. Trump?™s claim that he is immune from charges of plotting to subvert the 2020 election, suggesting that it is unlikely to rule in his favor on a central element of his defense.",,,,,
"Trump Verdict Hardens Many Views, but Changes Some, Too",2024-06-01T09:05:47+0000,"As the nation?™s electorate processed the felony convictions of Donald J. Trump, the partisan divide in the verdict?™s wake did not look so much like opposing sides of a chasm but like two alternate universes, one where the former president had been hounded and persecuted by his corrupt political enemies, the other where justice had finally been served to a career criminal.",,,,,
"Kamala Harris and McDonald?™s: A College Job, and a Trump Attack",2024-10-20T14:23:56+0000,"Birtherism, meet burgerism.",,,,,
How Kamala Harris Performs Against Donald Trump in the Polls,2024-07-21T19:42:24+0000,"After President Biden ended his re-election bid and endorsed Vice President Kamala Harris for the Democratic Party?™s nomination, questions have turned to her electoral viability ??and how she might perform against former President Donald J. Trump.",,,,,
Elizabeth Warren: What Donald Trump Isn?™t Telling Us,2024-09-14T11:00:26+0000,"During the presidential debate on Tuesday, Donald Trump was pressed on the details of his plan to repeal Obamacare and replace it with something ?œbetter.??The question should?™ve been a softball. After all, Mr. Trump has been promising the American people a plan for nine years, so he?™s had time to prepare. His answer? After ducking and weaving, he came up with: ?œI have concepts of a plan.??Uh, that?™s not a plan.",,,,,
C.E.O.s Are Frustrated. That Doesn?™t Mean They Embrace Trump.,2024-06-24T15:49:22+0000,"When the White House chief of staff, Jeffrey Zients, met with dozens of top executives in Washington this month, he encountered a familiar list of corporate complaints about President Biden.",,,,,
Harris Ad to Showcase Support of Liz Cheney and Other Republicans,2024-10-04T19:54:08+0000,"Vice President Kamala Harris?™s campaign will air a new ad in battleground states featuring endorsements from a retired general, former members of the Trump administration and former Representative Liz Cheney.",,,,,
Report From the Shooting at Trump?™s Rally: ?˜Get Down! Shots Fired!??2024-07-14T00:00:51+0000,Former President Donald J. Trump had just started to talk about immigration in his stump speech when several shots rang out from the bleachers to his right. It sounded like a small-caliber weapon.,,,,,,
Assessing Trump?™s and Harris?™s Attacks on Each Other,2024-08-17T09:02:13+0000,"In the weeks since Vice President Kamala Harris ascended to the top of the Democratic ticket, she and former President Donald J. Trump have each sought to portray the other as extreme and unfit for office.",,,,,
Should We Refrain From Gossip?,2024-09-12T16:23:00+0000,To the Editor:,,,,,
Liz Cheney Suggests a New Political Party May Be Needed,2024-09-21T17:35:00+0000,"Former Representative Liz Cheney, who has emerged as perhaps the most vocal and visible conservative critic of former President Donald J. Trump, suggested on Friday night that a new political party might need to be created to replace the Republican Party if he is defeated.",,,,,
"What to Watch as Voters Head to Polls in Georgia, Oregon and Elsewhere",2024-05-21T15:04:21+0000,Voters are headed to the polls on Tuesday in several states.,,,,,
The Embattled Biden Campaign Tests Kamala Harris?™s Strength vs. Trump,2024-07-11T16:11:35+0000,,,,,,
"Extraordinary Circumstances, Ordinary Due Process",2024-05-31T20:42:52+0000,"When former President Donald J. Trump was convicted on all charges at his criminal trial in Manhattan this week, it unleashed a torrent of outrage from the right savaging New York?™s legal system as better befitting a banana republic.",,,,,
Who Is the Prosecutor Delivering the Closing Statement in the Trump Trial?,2024-05-28T21:12:22+0000,"Joshua Steinglass, the prosecutor who is delivering the hourslong closing argument in the criminal trial of Donald J. Trump, is an assistant district attorney who has served in the role in Manhattan since 1998.",,,,,
Migrants in New York Have Become a Campaign Trope,2024-10-29T09:03:48+0000,Good morning. It?™s Tuesday. Today we?™ll look at how the migrant crisis in New York City became a campaign issue that candidates from both sides of the aisle in the state are using to attract voters.,,,,,
"With Harris, Georgia Democrats Say They See a ?˜Fighting Chance??,2024-07-30T17:29:34+0000,President Biden was struggling in Georgia even before the disastrous debate performance last month that ultimately led him to end his re-election bid. Four years ago", he was the first Democrat to win the state in nearly three decades ??a narrow but momentous victory fueled by a diverse coalition of voters. This time around, though, support had dissipated," as had hopes of a repeat.""",,,
What Does the Uncommitted Vote in Michigan Mean for 2024?,2024-02-28T07:07:08+0000,"In Tuesday night?™s results in Michigan, around one in eight Democrats voted ?œuncommitted??in the Democratic primary ??a protest of the Biden administration?™s policies toward Israel and the war in Gaza.",,,,,
Friday Briefing,2024-01-05T05:21:42+0000,"The Middle East is coming closer to the brink of a regional war, which the Biden administration has tried to stave off since Hamas?™s deadly attacks against Israel on Oct. 7. Growing attacks have forced thousands from their homes at the border between Lebanon and Israel, while Israeli forces continue to pummel the city of Khan Younis in southern Gaza. See the latest updates.",,,,,
Kamala Harris and ?˜Coach Walz??Ease Into Their New Partnership,2024-08-07T02:47:25+0000,"?œWow,??Tim Walz kept saying, his face spread in amazement. ?œWow.??
Between Attacks on Electric Cars", Trump Says They?™re ?˜Incredible??,2024-07-23T17:24:08+0000,"Former President Donald J. Trump has spent years ridiculing electric vehicles, saying they don?™t go far, are too expensive and are made in China. He has promised to end federal support for electric vehicles, a central feature of President Biden?™s strategy to cut the carbon dioxide that is heating the planet.",,
Presidential Campaigns and Allies Plan $500 Million in TV and Radio Ads,2024-09-17T15:56:11+0000,The presidential candidates and their allies plan to spend more than half a billion dollars on television and radio advertising over the final seven weeks of the campaign.,,,,,
Trump Acknowledges He Wanted to Go to the Capitol on Jan. 6,2024-05-01T23:44:07+0000,"Former President Donald J. Trump said on Wednesday that he asked his Secret Service detail to take him to the Capitol after his speech at the Ellipse on Jan. 6, 2021, acknowledging a key detail of his actions that were central to the findings of the House committee established to investigate the attack.",,,,,
Colleges Wonder if They Will Be ?˜the Enemy??Under Trump,2024-11-12T19:39:06+0000,"For many years, Republicans portrayed colleges as bastions of leftism, awash in bias against conservatives and impervious to change.",,,,,
